AVLR,2020-11-05,Sep 2020,-0.09,0.02,0.11,122.2
ROKU,2020-11-05,Sep 2020,-0.39,0.09,0.48,123
JLL,2020-11-02,Sep 2020,1.34,2.99,1.65,123.1
NVCR,2020-10-29,Sep 2020,0.04,0.09,0.05,125
TMUS,2020-11-05,Sep 2020,0.51,1.17,0.66,129.4
JAMF,2020-11-12,Sep 2020,0.03,0.07,0.04,133.3
ZS,2020-12-02,Oct 2020,0.06,0.14,0.08,133.3
CRM,2020-12-01,Oct 2020,0.74,1.74,1,135.1
CVX,2020-10-30,Sep 2020,-0.29,0.11,0.4,137.9
CACC,2020-10-29,Sep 2020,5.69,13.56,7.87,138.3
XRAY,2020-11-05,Sep 2020,0.28,0.67,0.39,139.2
FSLR,2020-10-27,Sep 2020,0.6,1.45,0.85,141.6
SQ,2020-11-05,Sep 2020,0.14,0.34,0.2,142.8
XEC,2020-11-04,Sep 2020,0.21,0.51,0.3,142.8
EVBG,2020-11-05,Sep 2020,-0.11,0.05,0.16,145.4
PEN,2020-10-28,Sep 2020,-0.13,0.06,0.19,146.1
ZG,2020-11-05,Sep 2020,0.15,0.37,0.22,146.6
INTU,2020-11-19,Oct 2020,0.38,0.94,0.56,147.3
MAT,2020-10-22,Sep 2020,0.38,0.95,0.57,150
PCTY,2020-11-05,Sep 2020,0.15,0.38,0.23,153.3
COF,2020-10-22,Sep 2020,1.99,5.05,3.06,153.7
TDS,2020-11-05,Sep 2020,0.26,0.66,0.4,153.8
VST,2020-11-04,Sep 2020,0.4,1.02,0.62,155
TTD,2020-11-05,Sep 2020,0.49,1.27,0.78,159.1
VSAT,2020-11-05,Sep 2020,-0.05,0.03,0.08,160
TPR,2020-10-29,Sep 2020,0.22,0.58,0.36,163.6
DCT,2020-10-20,Aug 2020,-0.03,0.02,0.05,166.6
HLT,2020-11-04,Sep 2020,-0.09,0.06,0.15,166.6
EOG,2020-11-05,Sep 2020,0.16,0.43,0.27,168.7
TWLO,2020-10-26,Sep 2020,-0.05,0.04,0.09,180
PODD,2020-11-04,Sep 2020,0.06,0.17,0.11,183.3
W,2020-11-03,Sep 2020,0.81,2.3,1.49,183.9
